Scheme Name	Asset Value
ICICI Prudential Multiple Yield Fund - Series 7 - 1100 Days Plan F Dividend Option	12.2797
ICICI Prudential Multiple Yield Fund - Series 7 - 1338 Days Plan D  Dividend Option	12.7190
ICICI Prudential Multiple Yield Fund - Series 7 - 1338 Days Plan D Cumulative Option	12.7190
ICICI Prudential Multiple Yield Fund - Series 7 - 1338 Days Plan D Direct Plan Cumulative Option	13.2675
ICICI Prudential Multiple Yield Fund - Series 7 - 1338 Days Plan D Direct Plan Dividend Option	13.2675
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Cumulative Option	14.3276
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Direct Plan Cumulative Option	15.1065
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Direct Plan Dividend Option	15.1065
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Dividend Option	14.3276
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan C Cumulative Option	13.9758
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan C Direct Plan Cumulative Option	14.7231
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan C Direct Plan Dividend Option	14.7231
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan C Dividend Option	13.9758
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan E Cumulative Option	13.8672
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan E Direct Plan Cumulative Option	14.6180
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan E Direct Plan Dividend Option	14.6180
ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan E Dividend Option	13.8672
ICICI Prudential Multiple Yield Fund - Series 8 -1101 Days Plan E Cumulative Option	12.0937
ICICI Prudential Multiple Yield Fund - Series 8 -1101 Days Plan E Direct Plan Cumulative Option	12.6249
ICICI Prudential Multiple Yield Fund - Series 8 -1101 Days Plan E Dividend Option	12.0937
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan C Cumulative Option	12.0248
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan C Direct Plan Cumulative Option	12.5700
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan C Direct Plan Dividend Option	12.5700
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan C Dividend Option	12.0248
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan F Cumulative Option	11.7925
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan F Direct Plan Cumulative Option	12.3399
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan F Direct Plan Dividend Option	12.3399
ICICI Prudential Multiple Yield Fund - Series 8 - 1103 Days Plan F Dividend Option	11.7925
ICICI Prudential Multiple Yield Fund - Series 8 -1822 Days Plan D Cumulative Option	13.5995
ICICI Prudential Multiple Yield Fund - Series 8 -1822 Days Plan D Direct Plan Cumulative Option	14.3826
ICICI Prudential Multiple Yield Fund - Series 8 -1822 Days Plan D Direct Plan Dividend Option	14.3826
ICICI Prudential Multiple Yield Fund - Series 8 -1822 Days Plan D Dividend Option	13.5995
ICICI Prudential Multiple Yield Fund - Series 8 - 1824 Days Plan A Cumulative Option	13.4760
ICICI Prudential Multiple Yield Fund - Series 8 - 1824 Days Plan A Direct Plan Cumulative Option	14.2589
ICICI Prudential Multiple Yield Fund - Series 8 - 1824 Days Plan A Direct Plan Dividend Option	14.2589
ICICI Prudential Multiple Yield Fund - Series 8 - 1824 Days Plan A Dividend Option	13.4760
ICICI Prudential Multiple Yield Fund - Series 9 - 1140 Days Plan A Cumulative Option	11.2828
ICICI Prudential Multiple Yield Fund - Series 9 - 1140 Days Plan A Direct Plan Cumulative Option	11.7593
ICICI Prudential Multiple Yield Fund - Series 9 - 1140 Days Plan A Direct Plan Dividend Option	11.7593
ICICI Prudential Multiple Yield Fund - Series 9 - 1140 Days Plan A Dividend Option	11.2828
ICICI Prudential Multiple Yield Fund - Series 6 - 1100 Days Plan F Cumulative Option	12.8982
ICICI Prudential Multiple Yield Fund - Series 6 - 1100 Days Plan F Direct Plan Cumulative Option	13.4508
ICICI Prudential Multiple Yield Fund - Series 6 - 1100 Days Plan F Direct Plan- Dividend Option	12.6492
ICICI Prudential Multiple Yield Fund - Series 6 - 1100 Days Plan F Dividend Option	12.1949
ICICI Prudential Multiple Yield Fund - Series 7 - 1100 Days Plan A Cumulative Option	12.4342
ICICI Prudential Multiple Yield Fund - Series 7 - 1100 Days Plan A Direct Plan Cumulative Option	12.9747
ICICI Prudential Multiple Yield Fund - Series 7 - 1100 Days Plan A Direct Plan Dividend Option	12.6366
ICICI Prudential Multiple Yield Fund - Series 7 - 1100 Days Plan A Dividend Option	12.1680
IL&FS Infrastructure Debt Fund Series 1A - Dividend payout option	1680494.0463
IL&FS Infrastructure Debt Fund Series 1A - Growth	1680494.0463
IL&FS Infrastructure Debt Fund Series 1C - Growth	2185944.3803
IL&FS Infrastructure Debt Fund Series 1C- Dividend Payout Option	2185944.3903
IL&FS Infrastructure Debt Fund Series 2A - Growth - Direct	1739959.8736
IL&FS Infrastructure Debt Fund Series 2B - Growth - Direct	2239184.3447
IL&FS Infrastructure Debt Fund Series 2C - Growth - Direct	2197207.5658
IL&FS Infrastructure Debt Fund Series 3A - Dividend payout option - Direct	1213044.969
IL&FS Infrastructure Debt Fund Series 3A - Growth - Direct	1213045.0145
IL&FS Infrastructure Debt Fund Series 3A - Growth - Regular	1211636.7662
IL&FS Infrastructure Debt Fund Series 3B - Dividend payout option	1674753.7757
IL&FS Infrastructure Debt Fund Series 3B - Growth - Direct	1674753.7918
IL&FS Infrastructure Debt Fund Series 1B - Dividend Payout	1456756.8966
IL&FS Infrastructure Debt Fund Series 1B - Growth	1456756.8971
Kotak Capital Protection Oriented Scheme - Series 1 - Direct Dividend	10.000002
Kotak Capital Protection Oriented Scheme - Series 1 - Direct Growth	12.14146666
Kotak Capital Protection Oriented Scheme - Series 1 - Regular Dividend	10.00001671
Kotak Capital Protection Oriented Scheme - Series 1 - Regular Growth	11.9437053
Kotak Capital Protection Oriented Scheme - Series 2 - Direct Dividend	10.000014
Kotak Capital Protection Oriented Scheme - Series 2 - Direct Growth	12.24230938
Kotak Capital Protection Oriented Scheme - Series 2 - Dividend	10.00000026
Kotak Capital Protection Oriented Scheme - Series 2 - Growth	12.04826466
Kotak Capital Protection Oriented Scheme Series 3 - Direct Growth	12.01316151
Kotak Capital Protection Oriented Scheme Series 3 Regular Dividend Payout	10.00000414
Kotak Capital Protection Oriented Scheme Series 3 Regular Growth	11.79653915
Kotak Capital Protection Oriented Scheme - Series 4 - Direct Dividend	10.000003
Kotak Capital Protection Oriented Scheme - Series 4 - Direct Growth	11.91227152
Kotak Capital Protection Oriented Scheme - Series 4 - Regular Dividend	10.00000281
Kotak Capital Protection Oriented Scheme - Series 4 - Regular Growth	11.72408936
Kotak Fixed Maturity Plan Series 328 - 90 Days - Direct Plan - Growth Option	10.19907795
Kotak Fixed Maturity Plan Series 328 - 90 Days - Direct Plan - IDCW Option	10.19902391
Kotak Fixed Maturity Plan Series 328 - 90 Days - Regular Plan - Growth Option	10.19518202
Kotak Fixed Maturity Plan Series 328 - 90 Days - Regular` Plan - IDCW Option	10.19518122
Kotak Fixed Maturity Plan Series 329 - 90 Days - Direct Plan - Growth Option	10.18968203
Kotak Fixed Maturity Plan Series 329 - 90 Days - Direct Plan - IDCW Option	10.18959361
Kotak Fixed Maturity Plan Series 329 - 90 Days - Regular Plan - Growth Option	10.18584049
Kotak Fixed Maturity Plan Series 329 - 90 Days - Regular Plan - IDCW Option	10.18583696
Kotak FMP Series 105 Direct Dividend	12.75752
Kotak FMP Series 105 Direct Growth	14.0608253
Kotak FMP Series 105 Dividend	10.00005272
Kotak FMP Series 105 Growth	14.01012529
Kotak FMP Series 106 Direct Dividend	10.00000021
Kotak FMP Series 106 Direct Growth	14.0569223
Kotak FMP Series 106 Dividend	10.0000024
Kotak FMP Series 106 Growth	14.01230223
Kotak FMP Series 107 Direct Dividend	11.895659
Kotak FMP Series 107 Direct Growth	13.86302882
Kotak FMP Series 107 Dividend	12.603974
Kotak FMP Series 107 Growth	13.826
Kotak FMP Series 108 Direct Growth	15.2861
Kotak FMP Series 108 Dividend	15.1436
Kotak FMP Series 108 Growth	15.1436
Kotak FMP Series 113 (1094 Days)  - Direct Dividend	14.12405644
Kotak FMP Series 113 (1094 Days) - Direct Growth	14.1240669
Kotak FMP Series 113 (1094 Days) - Dividend	13.12598706
Kotak FMP Series 113 (1094 Days) - Growth	13.92897592
Kotak FMP Series 115 (370 Days) - Direct Dividend	13.9816854
Kotak FMP Series 115 (370 Days) - Direct Growth	13.98165446
Kotak FMP Series 115 (370 Days) - Dividend	11.05176745
Kotak FMP Series 115 (370 Days) - Growth	13.90687362
Kotak FMP Series 116 (370 Days) - Direct Dividend	11.0919
Kotak FMP Series 116 (370 Days) - Direct Growth	14.0495
Kotak FMP Series 116 (370 Days) - Growth	14.01739046
Kotak FMP Series 116 (370 Days)- Dividend	11.08650939
Kotak FMP Series 131 (1061 Days) - Direct Growth	13.40397152
Kotak FMP Series 131 (1061 Days) - Dividend	13.30711876
Kotak FMP Series 131 (1061 Days) - Growth	13.63516786
Kotak FMP Series 132 (546 Days) - Direct Dividend	11.436448
Kotak FMP Series 132 (546 Days) - Direct Growth	13.1022
Kotak FMP Series 132 (546 Days) - Dividend	12.98211685
Kotak FMP Series 132 (546 Days) - Growth	12.98210634
Kotak FMP Series 133 (524 Days) - Direct Growth	13.0411
Kotak FMP Series 133 (524 Days) - Growth	12.94254112
Kotak FMP Series 135 (455 Days) - Direct Growth	13.02230964
Kotak FMP Series 135 (455 Days) - Growth	12.94497933
Kotak FMP Series 136 (376 Days) - Direct Growth	13.1268279
Kotak FMP Series 136 (376 Days) - Dividend	10.98559022
Kotak FMP Series 136 (376 Days) - Growth	13.07416784
Kotak FMP Series 137 (371 Days) -  Direct Growth	12.91911207
Kotak FMP Series 137 (371 Days) -  Dividend	10.9876902
Kotak FMP Series 137 (371 Days) - Direct Dividend	11.00823
Kotak FMP Series 137 (371 Days) - Growth	12.89282548
Kotak FMP Series 140 (1095 Days) - Direct Dividend	13.25938744
Kotak FMP Series 140 (1095 Days) - Direct Growth	13.46592974
Kotak FMP Series 140 (1095 Days) - Dividend	13.04108916
Kotak FMP Series 140 (1095 Days) - Growth	13.24117348
Kotak FMP Series 141 (454 Days) - Direct Dividend	11.22644472
Kotak FMP Series 141 (454 Days) - Direct Growth	13.10564654
Kotak FMP Series 141 (454 Days) - Dividend	12.745592
Kotak FMP Series 141 (454 Days) - Growth	12.94329655
Kotak FMP Series 142 (420 Days) - Direct Growth	12.93659605
Kotak FMP Series 142 (420 Days) - Dividend	11.0881154
Kotak FMP Series 142 (420 Days) - Growth	12.85510725
Kotak FMP Series 143 (370 Days) - Direct Growth	12.86922883
Kotak FMP Series 143 (370 Days) - Dividend	12.83623775
Kotak FMP Series 143 (370 Days) - Growth	12.83623795
Kotak FMP Series 145 (390 Days) - Direct Dividend	11.0309
Kotak FMP Series 145 (390 Days) - Direct Growth	13.9980544
Kotak FMP Series 145 (390 Days) - Dividend	13.926788
Kotak FMP Series 145 (390 Days) - Growth	13.92670727
Kotak FMP Series 146 (388 Days) - Direct Growth	13.97907359
Kotak FMP Series 146 (388 Days) - Dividend	10.991794
Kotak FMP Series 146 (388 Days) - Growth	13.91344572
Kotak FMP Series 147 (384 Days) - Direct Growth	13.94105794
Kotak FMP Series 147 (384 Days) - Dividend	10.9754905
Kotak FMP Series 147 (384 Days) - Growth	13.81277193
Kotak FMP Series 148 (388 Days) - Direct Growth	12.80118127
Kotak FMP Series 148 (388 Days) - Dividend	10.97208832
Kotak FMP Series 148 (388 Days) - Growth	12.75601298
Kotak FMP Series 149 (386 Days) - Direct Growth	12.804
Kotak FMP Series 149 (386 Days) - Dividend	10.95417912
Kotak FMP Series 149 (386 Days) - Growth	12.74600336
Kotak FMP Series 150 (1109 Days) - Direct Dividend	13.12745199
Kotak FMP Series 150 (1109 Days) - Direct Growth	13.1274521
Kotak FMP Series 150 (1109 Days) - Dividend	13.04040104
Kotak FMP Series 150 (1109 Days) - Growth	13.04040104
Kotak FMP Series 151 (388 Days) - Direct Growth	12.79384167
Kotak FMP Series 151 (388 Days) - Dividend	12.7396344
Kotak FMP Series 151 (388 Days) - Growth	12.73963475
Kotak FMP Series 153 (790 Days) - Direct Growth	13.16340155
Kotak FMP Series 153 (790 Days) - Dividend	13.007522
Kotak FMP Series 153 (790 Days) - Growth	13.00752188
Kotak FMP Series 154 (390 Days) - Direct Dividend	11.10164585
Kotak FMP Series 154 (390 Days) - Direct Growth	12.9698
Kotak FMP Series 154 (390 Days) - Dividend	12.8355
Kotak FMP Series 154 (390 Days) - Growth	12.8244
Kotak FMP Series 156 (370 Days) - Direct Dividend	12.79361175
Kotak FMP Series 156 (370 Days) - Direct Growth	12.79361109
Kotak FMP Series 156 (370 Days) - Dividend	12.74601114
Kotak FMP Series 156 (370 Days) - Growth	12.74601112
Kotak FMP Series 157 (370 Days) - Direct Growth	12.7898761
Kotak FMP Series 157 (370 Days) - Dividend	10.92376877
Kotak FMP Series 157 (370 Days) - Growth	12.7591034
Kotak FMP Series 158 (370 Days) - Direct Dividend	10.9618352
Kotak FMP Series 158 (370 Days) - Direct Growth	12.81478039
Kotak FMP Series 158 (370 Days) - Dividend	12.7821113
Kotak FMP Series 158 (370 Days) - Growth	12.78211083
Kotak FMP Series 159 (370 Days) - Direct Growth	12.79883451
Kotak FMP Series 159 (370 Days) - Dividend	12.7691112
Kotak FMP Series 159 (370 Days) - Growth	12.76911111
Kotak FMP Series 160 (1039 Days) - Direct Dividend	12.817912
Kotak FMP Series 160 (1039 Days) - Direct Growth	13.0206481
Kotak FMP Series 160 (1039 Days) - Dividend	12.88314796
Kotak FMP Series 160 (1039 Days) - Growth	12.88314796
Kotak FMP Series 161 (370 Days) - Direct Dividend	12.700968
Kotak FMP Series 161 (370 Days) - Direct Growth	12.70096773
Kotak FMP Series 161 (370 Days) - Dividend	12.698666
Kotak FMP Series 161 (370 Days) - Growth	12.69866061
Kotak FMP Series 162 (370 Days) - Direct Dividend	10.938333
Kotak FMP Series 162 (370 Days) - Direct Growth	12.80531107
Kotak FMP Series 162 (370 Days) - Dividend	12.73413254
Kotak FMP Series 162 (370 Days) - Growth	12.73413246
Kotak FMP Series 163 (1100 Days) - Direct Growth	12.98012475
Kotak FMP Series 163 (1100 Days) - Dividend	12.9081138
Kotak FMP Series 163 (1100 Days) - Growth	12.90811405
Kotak FMP Series 171 (1099 Days) - Direct Growth	12.7191521
Kotak FMP Series 171 (1099 Days) - Growth	12.6141521
Kotak FMP Series 172 - Direct Dividend	13.320754
Kotak FMP Series 172 - Direct Growth	13.31714521
Kotak FMP Series 172 - Regular Dividend	13.20244224
Kotak FMP Series 172 - Regular Growth	13.2024393
Kotak FMP Series 175 (1100 Days) - Direct Growth	12.75507899
Kotak FMP Series 175 (1100 Days) - Regular Dividend	12.74498877
Kotak FMP Series 175 (1100 Days) - Regular Growth	12.74497585
Kotak FMP Series 176 - Direct Plan - Growth	12.74521102
Kotak FMP Series 176 - Regular Plan - Dividend	12.65420885
Kotak FMP Series 176 - Regular Plan - Growth	12.65420847
Kotak FMP Series 178 - Direct Growth	12.7289622
Kotak FMP Series 178 - Regular Dividend	12.65628768
Kotak FMP Series 178 - Regular Growth	12.65628705
Kotak FMP Series 179 - Direct Dividend	10.00000033
Kotak FMP Series 179 - Direct Growth	12.67559415
Kotak FMP Series 179 - Regular Dividend	10.00000003
Kotak FMP Series 179 - Regular Growth	12.60614788
Kotak FMP Series 180 (1099 Days) - Direct Growth	12.62908974
Kotak FMP Series 180 (1099 Days) - Regular Dividend	10.00001292
Kotak FMP Series 180 (1099 Days) - Regular Growth	12.56152759
Kotak FMP Series 181 - Direct Dividend	10.0000
Kotak FMP Series 181 - Direct Growth	12.9575
Kotak FMP Series 181 - Regular Dividend	10.0000
Kotak FMP Series 181 - Regular Growth	12.867
Kotak FMP Series 182 - Direct Dividend	10.000022
Kotak FMP Series 182 - Direct Growth	12.60854245
Kotak FMP Series 182 - Regular Dividend	10.00000067
Kotak FMP Series 182 - Regular Growth	12.51956111
Kotak FMP Series 185 - Direct Growth	12.8591
Kotak FMP Series 185 - Regular Dividend	10
Kotak FMP Series 185 - Regular Growth	12.7644
Kotak FMP Series 186 - Direct Growth	13.5408
Kotak FMP Series 186 - Regular Dividend	13.5142432
Kotak FMP Series 186 - Regular Growth	13.5184
Kotak FMp Series 190 - Direct - Dividend Payout	12.83786031
Kotak FMP Series 190 - Direct - Growth	12.83786022
Kotak FMP Series 190 - Regular - Dividend Payout	10.0000026
Kotak FMP Series 190 - Regular - Growth	12.7482555
Kotak FMP Series 191 - Direct - Growth	12.69637755
Kotak FMP Series 191 - Regular - Dividend Payout	10.000014
Kotak FMP Series 191 - Regular - Growth	12.62255773
Kotak FMP Series 192 - Direct - Growth	12.6723
Kotak FMP Series 192 - Regular - Dividend Payout	10.0000
Kotak FMP Series 192 - Regular - Growth	12.5986
Kotak FMP Series 193 - Direct - Growth	12.2610436
Kotak FMP Series 193 - Regular - Dividend Payout	11.29704707
Kotak FMP Series 193 - Regular - Growth	12.12913505
Kotak FMP Series 194 - Direct - Growth	11.78329288
Kotak FMP Series 194 - Regular - Dividend Payout	11.32342082
Kotak FMP Series 194 - Regular- Growth	11.67936116
Kotak FMP Series 196 - Direct - Growth	12.48885213
Kotak FMP Series 196 - Regular - Dividend Payout	10.00000641
Kotak FMP Series 196 - Regular - Growth	12.42780569
Kotak FMP Series 199 - Direct Plan - Growth Option	12.42189729
Kotak FMP Series 199 - Regular Plan - Dividend Payout Option	12.31038055
Kotak FMP Series 199 - Regular Plan - Growth Option	12.31038068
Kotak FMP Series 200-Direct Plan-Dividend Payout Option	12.46957982
Kotak FMP Series 200-Direct Plan-Growth Option	12.46958857
Kotak FMP Series 200-Regular Plan-Dividend Payout	12.3123377
Kotak FMP Series 200-Regular Plan-Growth Option	12.31234551
Kotak FMP Series 202-Direct Plan-Growth Option	12.42571187
Kotak FMP Series 202-DirectPLan-Dividend Payout Option	12.42569613
Kotak FMP Series 202-Regular Plan-Dividend Payout Option	12.301102
Kotak FMP Series 202-Regular Plan-Growth Option	12.30124559
Kotak FMP Series 203 - Direct Plan - Growth Option	12.31849
Kotak FMP Series 203 - Regular Plan - Dividend Payout Option	12.18924162
Kotak FMP Series 203-Direct Plan-Dividend Payout Option	12.3184774
Kotak FMP Series 203-Regular Plan-Growth option	12.18923917
Kotak FMP Series 204-Direct Plan-Dividend Payout Option	12.41225314
Kotak FMP Series 204-Direct Plan-Growth Option	12.41235067
Kotak FMP Series 204-Regular Plan-Dividend Payout Option	12.35582924
Kotak FMP Series 204-Regular Plan-Growth Option	12.35582851
Kotak FMP Series 210 - Direct Plan - Dividend Option	12.29096602
Kotak FMP Series 210-Direct Plan-Growth Option	12.29096233
Kotak FMP Series 210-Regular plan-Dividend Option	12.1964524
Kotak FMP Series 210-Regular Plan-Growth option	12.196452
Kotak FMP Series 211-Direct Plan-Dividend option	12.24991006
Kotak FMP Series 211-Direct Plan-Growth Option	12.2499135
Kotak FMP Series 211-Regular Plan -Growth option	12.15334211
Kotak FMP Series 211-Regular Plan-Dividend Option	12.15334053
Kotak FMP Series 212-Direct plan-Growth option	12.67795851
Kotak FMP Series 212-Regular Plan - Payout of Income Distribution cum capital withdrawal option	12.54734151
Kotak FMP Series 212-Regular Plan-Growth Option	12.54734186
Kotka FMP Series 212-Direct plan -Payout of Income Distribution cum capital withdrawal option	12.67795288
Kotak FMP Series 213-Direct Plan - Payout of Income Distribution cum capital withdrawal option	12.68288571
Kotak FMP Series 213-Direct Plan-Growth Option	12.68284782
Kotak FMP Series 213-Regular Plan - Payout of Income Distribution cum capital withdrawal option	12.55527623
Kotak FMP Series 213-Regular Plan-Growth Option	12.5552762
Kotak FMP Series 214-Direct Plan-Growth Option	12.74466728
Kotak FMP Series 214-Direct Plan-Payout of Income Distribution cum capital withdrawal option	12.7447792
Kotak FMP Series 214-Regular Plan-Payout of Income Distribution cum capital withdrawal option	12.60047267
Kotak FMP Series 214-RegularPlan-Growth Option	12.60047327
Kotak FMP Series 215-Direct Plan-Growth Option	12.79483364
Kotak FMP Series 215-Direct Plan-Payout of Income Distribution cum capital withdrawal option	12.7949605
Kotak FMP Series 215-Regular Plan - Payout of Income Distribution cum capital withdrawal option	12.73132
Kotka FMP Series 215-Regular Plan-Growth Option	12.73131945
Kotak FMP Series 216 - Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.876422
Kotak FMP Series 216-Direct Plan-Growth Option	12.87626106
Kotak FMP Series 216-Regular Plan- Payout of Income Distribution cum capital withdrawal Option	12.80911307
Kotak FMP Series 216-Regular Plan-Growth Option	12.80896244
Kotak FMP Series 217-Direct Plan-Growth Option	12.86043238
Kotak FMP Series 217-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.863454
Kotak FMP Series 217-Regular Plan-Growth Option	12.79734984
Kotak FMP Series 217-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.79734525
Kotak FMP Series 218-Direct Plan-Dividend Option	10.2001709
Kotak FMP Series 218-Direct Plan-Growth option	10.20017091
Kotak FMP Series 218-Regular Plan-Dividend Option	10.19497438
Kotak FMP Series 218-Regular Plan-Growth Option	10.19497438
Kotak FMP Series 219-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.63628468
Kotak FMP Series 219-Regular Plan-Growth Option	12.5373055
Kotak FMP Series 219-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.53731182
Kotka FMP Series 219-Direct Plan-Growth Option	12.63632646
Kotak FMP Series 220-Direct Plan-Growth Option	12.82535387
Kotak FMP Series 220-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.8255464
Kotak FMP Series 220-Regular Plan-Growth Option	12.73113892
Kotak FMP Series 220-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.73113049
Kotak FMP Series 221-Direct plan-Growth Option	12.53119294
Kotak FMP Series 221-Regular Plan-Growth Option	12.43591539
Kotak FMP Series 221-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.43592375
Kotak FMP Series 223-Direct Plan-Growth Option	12.77917038
Kotak FMP Series 223-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.77917039
Kotak FMP Series 223-Regular Plan-Growth option	12.64509652
Kotak FMP Series 223-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.6450827
Kotak FMP Series 224 - Regular Plan- Payout of Income Distribution cum capital withdrawal Option	12.47440668
Kotak FMP Series 224-Direct Plan-Growth Option	12.57066655
Kotak FMP Series 224-Regular Plan-Growth Option	12.47439853
Kotak FMP Series 225-Direct Plan-Growth Option	12.46310596
Kotak FMP Series 225-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.46328857
Kotak FMP Series 225-Regular Plan -Growth Option	12.36985067
Kotak FMP Series 225-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.36985
Kotak FMP Series 226 - Direct Plan- Growth Option	13.74506401
KOtak FMP Series 226 - Direct Plan- Payout of Income Distribution cum capital withdrawal Option	13.74502878
Kotak FMP Series 226 - Regular Plan - Payout of Income Distribution cum capital withdrawal Option	13.64107217
Kotak FMP Series 226 - Regular Plan- Growth Option	13.64107272
Kotak FMP Series 227 - Direct Plan - Growth Option.	10.21444515
Kotak FMP Series 227 - Regular Plan -Growth Option.	10.20907352
Kotak FMP Series 227 - Regular Plan- Dividend Option.	10.20907352
Kotak FMP Series 227- Direct Plan - Dividend Option.	10.21444515
Kotak FMP Series 228 - Regular Plan - Growth Option	12.70956588
Kotak FMP Series 228- Regular Plan  -Payout of Income Distribution cum capital withdrawal Option	12.70956421
Kotak FMP Series 228-Direct Plan - Growth Option	12.78522894
Kotak FMP Series 229 - Direct Plan - Dividend Option	10.20746304
Kotak FMP Series 229 - Direct Plan - Growth Option	10.20746304
Kotak FMP Series 229 - Regular Plan - Dividend Option	10.20209509
Kotak FMP Series 229- Regular Plan  -Growth Option	10.20209509
Kotak FMP Series 230-Direct Plan-Growth Option	12.76020815
Kotak FMP Series 230-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.76019487
Kotak FMP Series 230-Regular Plan-Growth Option	12.66520507
Kotak FMP Series 232- Regular Plan- Growth Option	12.68978959
Kotak FMP Series 232-Direct Plan-Growth Option	12.80015194
Kotak FMP Series 232-Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.6897919
Kotak FMP Series 233 - Direct Plan - Growth Option	12.68434581
Kotak FMP Series 233 - Direct Plan - Payout of Income Distribution cum capital withdrawal Option	12.686633
Kotak FMP Series 233 - Regular Plan - Growth Option	12.57059862
Kotak FMP Series 234 - Direct Plan - Growth Option	13.00887157
Kotak FMP Series 234 - Regular Plan - Growth Option	12.91098148
Kotak FMP Series 234 -Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.91102524
Kotak FMP Series 235 - Direct Plan - Growth option	12.73441896
Kotak FMP Series 235 - Regular Plan - Growth Option	12.64048763
Kotak FMP Series 235 - Regular Plan - Payout of Income Distribution cum capital withdrawal Option	12.64101
Kotak FMP Series 237 - Direct Plan-Growth Option	12.83951567
Kotak FMP Series 237 - Regular Plan -Payout of Income Distribution cum capital withdrawal Option	12.742445
Kotak FMP Series 237- Regular Plan -Growth Option	12.74127942
Kotak FMP Series 239 - Direct Plan - Growth option	13.56295213
Kotak FMP Series 239 - Direct Plan - Payout of Income Distribution cum capital withdrawal Option	13.5631175
Kotak FMP Series 239 - Regular plan -Growth option	13.52129461
Kotak FMP Series 239 - Regular plan- Payout of Income Distribution cum capital withdrawal Option	13.521266
Kotak FMP Series 240 - Direct Plan - Growth Option	12.79040526
Kotak FMP Series 240 - Regular Plan - Growth option	12.69496527
Kotak FMP Series 240-Regular Plan - Payout of Income Distribution cum capital withdrawal Option	12.69409067
Kotak FMP Series 242 - Direct Plan  -Growth Option	12.77057107
Kotak FMP Series 242 - Direct Plan - Payout of Income Distribution cum capital withdrawal Option	12.7704892
Kotak FMP Series 242 - Regular Growth	12.67623406
Kotak FMP Series 242 -Regular Plan -Payout of Income Distribution cum capital withdrawal Option	12.67622737
Kotak FMP Series 243 - Regular Plan -Payout of Income Distribution cum capital withdrawal Option	13.30003773
Kotak FMP Series 243-Direct Plan - Payout of Income Distribution cum capital withdrawal Option	13.43706333
Kotak FMP Series 243-Direct Plan -Growth Option	13.43717344
Kotak FMP Series 243-Regular Plan-Growth Option	13.30003554
Kotak FMP Series 245 -Regular Plan-Payout of Income Distribution cum capital withdrawal Option	12.59072787
Kotak FMP Series 245-Direct Plan-Growth Option	12.70298177
Kotak FMP Series 245-Direct Plan-Payout of Income Distribution cum capital withdrawal Option	12.70295706
Kotak FMP Series 245-Regular Plan-Growth Option	12.59073449
Kotak FMP Series 246 - Direct Plan - Growth Option	12.90273312
Kotak FMP Series 246 - Regular Plan - Payout of Income Distribution cum capital withdrawal Option	12.72832775
Kotak FMP Series 246 -Direct plan - Payout of Income Distribution cum capital withdrawal Option	12.90274338
Kotak FMP Series 246 -Regular Plan - Growth oPtion	12.7283301
Kotak FMP Series 247 - Regular Plan -Payout of Income Distribution cum capital withdrawal Option	13.31228831
Kotak FMP Series 247 -Direct Plan -Growth option	13.44935518
Kotak FMP Series 247 -Regular Plan - Growth option	13.31228991
Kotak FMP Series 248 - Direct Plan -Growth Option	13.38646144
Kotak FMP Series 248 - Direct Plan -Payout of Income Distribution cum capital withdrawal Option	13.38586533
